TRACT,TRACTFIPS,HWAV_EVNTS,HWAV_RISKV,HWAV_RISKS,HWAV_RISKR
702,6039000702,53,397173.5833,99.2068211,Very High
801,6039000801,53,177361.482,96.26480521,Very High
802,6039000802,53,305719.3163,98.59677496,Very High
901,6039000901,53,243358.7171,97.82737954,Very High
902,6039000902,53,288650.3587,98.42791229,Very High
903,6039000903,53,240570.7892,97.78219093,Very High
1100,6039001100,53.0369916,1607530.217,99.99881083,Very High
101100,6041101100,14.75559302,2708.011302,31.23840556,Relatively Low
101200,6041101200,15,4040.5094,36.66579461,Relatively Low
102100,6041102100,19.95227307,3160.343292,33.25643343,Relatively Low
102202,6041102202,15,8798.163427,49.24368549,Relatively Low
102203,6041102203,15,10948.67398,53.20244494,Relatively Moderate
103100,6041103100,21.79241316,9889.540348,51.29501023,Relatively Moderate
103200,6041103200,15,14432.02292,58.73567046,Relatively Moderate
104102,6041104102,15,9913.700191,51.35209057,Relatively Moderate
104103,6041104103,15,4498.557633,38.29615183,Relatively Low
104104,6041104104,15,7984.808488,47.54197783,Relatively Low
104200,6041104200,18.55570244,9247.332678,50.10940399,Relatively Moderate
104300,6041104300,14.99558488,1590.13448,25.6754507,Relatively Low
105001,6041105001,15,7793.416518,47.14122628,Relatively Low
105002,6041105002,15,4413.165619,38.00599344,Relatively Low
106001,6041106001,14.38987416,10897.96847,53.10968939,Relatively Moderate
106002,6041106002,14.71785796,9707.410521,50.97869001,Relatively Moderate
107000,6041107000,20.6455581,9039.640703,49.70389573,Relatively Moderate
108100,6041108100,15,10748.79271,52.84807116,Relatively Moderate
108201,6041108201,15,6278.741232,43.50116539,Relatively Low
108202,6041108202,15,9510.440749,50.60410027,Relatively Moderate
109001,6041109001,15,7534.873303,46.55734196,Relatively Low
109002,6041109002,15,5026.443844,39.91937402,Relatively Low
110100,6041110100,15,10679.86088,52.73985635,Relatively Moderate
110200,6041110200,12.61554974,5426.011501,41.13708795,Relatively Low
111001,6041111001,15,2017.362768,28.01098797,Relatively Low
111002,6041111002,15,7500.785799,46.47528897,Relatively Low
112100,6041112100,15,8764.897076,49.16638919,Relatively Low
112202,6041112202,13.77411513,9571.044695,50.7206393,Relatively Moderate
112203,6041112203,15,6547.587893,44.20277791,Relatively Low
112204,6041112204,15,12535.82812,55.8602483,Relatively Moderate
113000,6041113000,27.85552358,11090.08211,53.42957713,Relatively Moderate
114100,6041114100,15,8308.367565,48.2459687,Relatively Low
114200,6041114200,16.00604069,5263.580352,40.63406745,Relatively Low
115000,6041115000,16.39918794,10978.814,53.25120107,Relatively Moderate
116000,6041116000,15,3605.842861,35.04851829,Relatively Low
117000,6041117000,15,7045.996532,45.41573515,Relatively Low
118100,6041118100,15,2668.790729,31.08500214,Relatively Low
119100,6041119100,15,6410.063416,43.8495933,Relatively Low
119201,6041119201,15,7224.063246,45.83551349,Relatively Low
119202,6041119202,15,4759.769015,39.15711364,Relatively Low
120001,6041120001,15,1388.810174,24.39827808,Relatively Low
120002,6041120002,15,7724.447633,46.99376873,Relatively Low
