GEOID,heatrisk_class,Tree Canopy Class
06037228410,1,1
06037231220,1,1
06037231220,1,1
06037231210,1,0
06037231210,1,1
06037231100,1,1
06037231100,1,0
06037231100,1,0
06037222700,1,2
06037226420,2,1
06037226420,2,0
06037226420,2,1
06037222600,2,2
06037222600,2,1
06037222600,2,1
06037532900,2,1
06037532900,2,0
06037532700,0,0
06037532800,1,0
06037228900,1,1
06037228900,1,0
06037229100,1,1
06037229100,1,1
06037228800,2,0
06037228800,2,0
06037228800,2,1
06037228800,2,1
06037228720,1,1
06037228720,1,1
06037228720,1,1
06037228220,1,1
06037228220,1,1
06037228220,1,0
06037228100,1,0
06037228100,1,1
06037228100,1,1
06037228210,1,1
06037228210,1,1
06037227020,1,0
06037227020,1,1
06037204920,0,0
06037204920,0,0
06037532302,1,0
06037531302,2,0
06037531302,2,0
06037531301,2,0
06037531202,1,0
06037227010,1,0
06037227010,1,1
06037205120,1,0
06037205120,1,0
06037204820,0,1
06037204820,0,0
06037205110,1,2
06037226001,0,0
06037226001,0,0
06037204910,1,0
06037204810,2,0
06037204810,2,0
06037204810,2,1
06037206050,0,0
06037204700,1,1
06037204700,1,1
06037204700,1,0
06037226002,1,0
06037226002,1,0
06037204120,0,1
06037204120,0,0
06037203900,1,0
06037203900,1,0
06037203900,1,0
06037204600,1,2
06037204600,1,0
06037204300,1,1
06037204300,1,1
06037204300,1,0
06037204300,1,1
06037204110,0,1
06037204110,0,0
06037204110,0,0
06037204200,1,0
06037204200,1,0
06037269905,0,0
06037269905,0,0
06037220100,0,1
06037220100,0,0
06037220100,0,1
06037269906,0,1
06037702400,1,2
06037702400,1,1
06037702400,1,2
06037702400,1,0
06037702400,1,1
06037269907,0,1
06037219901,1,1
06037219901,1,1
06037219901,1,1
06037222002,2,0
06037222002,2,1
06037222002,2,1
06037222002,2,1
06037219020,1,1
06037219020,1,0
06037219020,1,0
06037219300,1,0
06037219300,1,0
06037219300,1,0
06037222100,1,1
06037222100,1,1
06037222100,1,1
06037219010,0,1
06037219010,0,1
06037220000,2,1
06037220000,2,1
06037220000,2,1
06037220000,2,1
06037220000,2,0
06037219700,1,1
06037219700,1,1
06037219700,1,1
06037222001,0,1
06037222001,0,1
06037222200,1,2
06037222200,1,1
06037218702,0,1
06037218702,0,1
06037224600,1,0
06037224600,1,0
06037226410,1,0
06037226410,1,0
06037221900,1,1
06037221900,1,1
06037221820,0,2
06037221820,0,2
06037221810,0,1
06037221810,0,1
06037224020,1,0
06037224020,1,0
06037224420,0,2
06037224420,0,1
06037224410,0,1
06037224410,0,1
06037271200,0,1
